id,age,gender,race,education,experience_years,university_tier,zipcode,hired
1,28,Male,White,Bachelor's,3,tier_1,10001,yes
2,34,Female,Black,Master's,7,tier_2,10002,no
3,45,Male,White,PhD,15,tier_1,10003,yes
4,26,Female,Hispanic,Bachelor's,2,tier_3,10004,no
5,38,Male,Asian,Master's,10,tier_1,10005,yes
6,29,Female,White,Bachelor's,4,tier_2,10006,no
7,52,Male,Black,Master's,20,tier_2,10007,yes
8,31,Female,Asian,PhD,6,tier_1,10008,yes
9,24,Male,Hispanic,Bachelor's,1,tier_3,10009,no
10,41,Female,White,Master's,12,tier_1,10010,yes
11,27,Male,White,Bachelor's,2,tier_2,10011,yes
12,36,Female,Black,Bachelor's,8,tier_3,10012,no
13,33,Male,Asian,Master's,9,tier_1,10013,yes
14,48,Female,White,PhD,18,tier_1,10014,yes
15,25,Male,Hispanic,Bachelor's,1,tier_3,10015,no
16,39,Female,Black,Master's,11,tier_2,10016,no
17,30,Male,White,Bachelor's,5,tier_1,10017,yes
18,44,Female,Asian,PhD,16,tier_1,10018,yes
19,28,Male,Black,Bachelor's,3,tier_3,10019,no
20,35,Female,White,Master's,9,tier_2,10020,yes
21,26,Male,Hispanic,Bachelor's,2,tier_3,10021,no
22,42,Female,White,Master's,13,tier_1,10022,yes
23,31,Male,Asian,Bachelor's,6,tier_2,10023,yes
24,37,Female,Black,Bachelor's,9,tier_3,10024,no
25,29,Male,White,Master's,4,tier_1,10025,yes
26,46,Female,Hispanic,PhD,17,tier_2,10026,no
27,32,Male,White,Bachelor's,7,tier_1,10027,yes
28,27,Female,Asian,Bachelor's,3,tier_2,10028,no
29,51,Male,Black,Master's,19,tier_1,10029,yes
30,34,Female,White,Bachelor's,8,tier_2,10030,yes
31,23,Male,Hispanic,Bachelor's,1,tier_3,10031,no
32,40,Female,Black,Master's,12,tier_3,10032,no
33,28,Male,White,Bachelor's,4,tier_1,10033,yes
34,36,Female,Asian,Master's,10,tier_1,10034,yes
35,43,Male,White,PhD,14,tier_1,10035,yes
36,25,Female,Hispanic,Bachelor's,2,tier_3,10036,no
37,38,Male,Black,Master's,11,tier_2,10037,no
38,31,Female,White,Bachelor's,6,tier_1,10038,yes
39,29,Male,Asian,Bachelor's,4,tier_2,10039,yes
40,47,Female,White,PhD,17,tier_1,10040,yes
41,26,Male,Hispanic,Bachelor's,2,tier_3,10041,no
42,33,Female,Black,Master's,8,tier_3,10042,no
43,41,Male,White,Master's,13,tier_1,10043,yes
44,28,Female,Asian,Bachelor's,3,tier_2,10044,no
45,35,Male,White,Bachelor's,9,tier_1,10045,yes
46,30,Female,Hispanic,Master's,5,tier_3,10046,no
47,44,Male,Black,PhD,15,tier_2,10047,yes
48,27,Female,White,Bachelor's,3,tier_1,10048,yes
49,32,Male,Asian,Master's,7,tier_1,10049,yes
50,39,Female,Black,Bachelor's,11,tier_3,10050,no